Employee_ID,Name,Age,Salary,Joining_Date,Department,City
101,John,25,35000,2022-01-12,HR,Chennai
102,Anita,28,42000,2022-02-15,IT,Bangalore
103,Rahul,31,52000,2022-03-20,Finance,Mumbai
104,Sneha,29,48000,2022-04-25,Sales,Delhi
105,Karan,35,61000,2022-05-18,Marketing,Hyderabad
106,Priya,27,43000,2022-06-10,HR,Pune
107,Arun,30,55000,2022-07-15,IT,Kolkata
108,Meena,32,60000,2022-08-08,Finance,Chennai
109,Ravi,26,39000,2022-09-11,Sales,Madurai
110,Asha,24,36000,2022-10-12,Marketing,Coimbatore
111,,29,47000,2022-11-15,HR,Salem
112,Vikram,,51000,2022-12-18,IT,Erode
113,Latha,34,,2023-01-10,Finance,Trichy
114,,31,58000,2023-02-12,Sales,Vellore
115,Deepak,27,,2023-03-14,Marketing,Tirunelveli
116,Divya,,49000,2023-04-15,HR,Chennai
117,,33,62000,2023-05-16,IT,Bangalore
118,Naveen,28,,2023-06-17,Finance,Mumbai
119,Krishna,,53000,2023-07-18,Sales,Delhi
120,,26,45000,2023-08-19,Marketing,Pune
121,Akash,22,250000,2023-09-10,HR,Chennai
122,Keerthi,55,15000,2023-10-12,IT,Bangalore
123,Suresh,40,120000,2023-11-14,Finance,Mumbai
124,Harini,19,18000,2023-12-15,Sales,Delhi
125,Mohan,60,300000,2024-01-16,Marketing,Hyderabad
126,Renu,29,52000,12/02/2024,HR,Pune
127,Sathish,30,48000,15-Mar-2024,IT,Kolkata
128,Anu,26,45000,2024/04/20,Finance,Chennai
129,Gokul,33,61000,April 25 2024,Sales,Madurai
130,Sindhu,31,57000,InvalidDate,Marketing,Coimbatore
131,Ajay,28,47000,2024-06-12,hr,Salem
132,Geetha,30,55000,2024-07-13,HR,Erode
133,Kavin,27,51000,2024-08-14,Hr,Trichy
134,Nisha,29,49000,2024-09-15,it,Vellore
135,Prabhu,35,63000,2024-10-16,FINANCE,Tirunelveli
136,Ramesh,36,64000,2024-11-17,sales,Chennai
137,Uma,24,42000,2024-12-18,Marketing,Bangalore
138,Bala,32,56000,2025-01-19,finance,Mumbai
139,Sara,26,44000,2025-02-20,SALES,Delhi
140,Kishore,30,59000,2025-03-21,HR,Hyderabad
141,José,29,51000,2025-04-10,IT,Chennai
142,Renée,31,54000,2025-05-11,Finance,Bangalore
143,Müller,34,62000,2025-06-12,Sales,Mumbai
144,François,28,47000,2025-07-13,Marketing,Delhi
145,Anaïs,27,45000,2025-08-14,HR,Pune
146,Rohit,25,43000,2025-09-15,IT,Chennai
147,Neha,33,61000,2025-10-16,Finance,Bangalore
148,Amit,29,50000,2025-11-17,Sales,Mumbai
149,Pooja,30,56000,2025-12-18,Marketing,Delhi
150,Manoj,32,59000,2026-01-19,HR,Hyderabad
